SITE_NAME,Lat,Lon,Veast,Vnorth,Vup,sigEast,sigNorth,sigUp
P280,35.544056464,239.6523915371,-0.02446,0.0301,-0.00081,0.00015,0.00015,0.00059
P281,35.8410609093,239.6105375371,-0.01883,0.02597,-0.00042,0.0005200000000000001,0.0002,0.00084
P281,35.8410608905,239.61053755560002,-0.01883,0.02597,-0.00042,0.0005200000000000001,0.0002,0.00084
P282,35.8378100861,239.65478440330003,-0.01571,0.0203,0.0015199999999999999,0.00011999999999999999,0.00011999999999999999,0.0007
P282,35.837810094,239.6547843967,-0.01571,0.0203,0.0015199999999999999,0.00011999999999999999,0.00011999999999999999,0.0007
P283,35.8066707367,239.7147423009,-0.01523,0.01958,0.00112,0.00015,0.00011999999999999999,0.00073
P283,35.8066707526,239.7147422973,-0.01523,0.01958,0.00112,0.00015,0.00011999999999999999,0.00073
P284,35.9332628316,239.09315275560002,-0.02650,0.03279,-0.00086,0.00032,0.00028,0.00055
P284,35.9332628527,239.09315277759998,-0.02650,0.03279,-0.00086,0.00032,0.00028,0.00055
P285,36.417180339,239.01851701919998,-0.01110,0.01356,0.00199,0.00016,0.00016,0.0006900000000000001
P285,36.4171803566,239.0185170337,-0.01110,0.01356,0.00199,0.00016,0.00016,0.0006900000000000001
P285,36.417180355999996,239.0185170191,-0.01110,0.01356,0.00199,0.00016,0.00016,0.0006900000000000001
P285,36.4171803838,239.0185170338,-0.01110,0.01356,0.00199,0.00016,0.00016,0.0006900000000000001
P286,36.5159094477,239.14694241290002,-0.00984,0.01116,0.00026000000000000003,0.0002,0.00021,0.0008900000000000001
P286,36.5159094506,239.146942436,-0.00984,0.01116,0.00026000000000000003,0.0002,0.00021,0.0008900000000000001
P287,36.024837557199994,239.3021652425,-0.02810,0.0327,-2e-05,0.00035,0.00018999999999999998,0.00061
P287,36.0248375754,239.3021653957,-0.02810,0.0327,-2e-05,0.00035,0.00018999999999999998,0.00061
P288,36.1402093289,239.1210953912,-0.02782,0.033389999999999996,0.0005200000000000001,0.00011,0.0001,0.00033
P288,36.1402093215,239.12109541540002,-0.02782,0.033389999999999996,0.0005200000000000001,0.00011,0.0001,0.00033
P288,36.1402093533,239.1210954307,-0.02782,0.033389999999999996,0.0005200000000000001,0.00011,0.0001,0.00033
P289,36.1068442818,239.2511809921,-0.02762,0.03311,0.00072,0.00018999999999999998,0.00014,0.0007
P289,36.1068442772,239.2511810337,-0.02762,0.03311,0.00072,0.00018999999999999998,0.00014,0.0007
P290,36.1789398943,239.2717462111,-0.00886,0.011590000000000001,0.00159,0.00018999999999999998,0.00015,0.00058
P290,36.1789398908,239.2717461909,-0.00886,0.011590000000000001,0.00159,0.00018999999999999998,0.00015,0.00058
